client_id,age,household,income,budget_sensitivity,identified_gaps,recommended_products,key_objection,compliance_note
C001,28,single,45k-55k,high,none identified,review existing coverage,insurance is a waste of money,SYNTHETIC TEST SCENARIO ONLY — not real advice
C002,34,married_no_kids,75k-90k,medium,life insurance (dependents present); individual disability insurance,term life 10-20x income; own-occupation disability to 60% income,already have coverage,SYNTHETIC TEST SCENARIO ONLY — not real advice
C003,45,married_2_kids,100k-130k,medium,individual disability insurance; umbrella liability,own-occupation disability to 60% income; $1M+ umbrella policy,too many policies already,SYNTHETIC TEST SCENARIO ONLY — not real advice
C004,62,single,60k-75k,high,individual disability insurance; long-term care consideration,own-occupation disability to 60% income; LTC quote review (age-based pricing),government will cover it,SYNTHETIC TEST SCENARIO ONLY — not real advice
C005,52,married_teenagers,120k-160k,low,individual disability insurance; umbrella liability,own-occupation disability to 60% income; $1M+ umbrella policy,teen driver rates too high,SYNTHETIC TEST SCENARIO ONLY — not real advice
C006,39,single_parent_1_child,55k-70k,high,life insurance (dependents present); individual disability insurance; renters insurance,term life 10-20x income; own-occupation disability to 60% income; renters policy ($15-30/mo),can't afford another bill,SYNTHETIC TEST SCENARIO ONLY — not real advice
C007,71,married,80k-100k,medium,individual disability insurance; long-term care consideration; medigap/medicare supplement review,own-occupation disability to 60% income; LTC quote review (age-based pricing); medigap Plan G or N comparison,too old to qualify,SYNTHETIC TEST SCENARIO ONLY — not real advice
C008,25,single,35k-45k,very high,renters insurance,renters policy ($15-30/mo),"young and healthy, don't need it",SYNTHETIC TEST SCENARIO ONLY — not real advice
C009,48,married_3_kids,150k-200k,low,individual disability insurance,own-occupation disability to 60% income,already well-covered,SYNTHETIC TEST SCENARIO ONLY — not real advice
C010,31,engaged,65k-80k,medium,individual disability insurance,own-occupation disability to 60% income,"getting married soon, will figure it out then",SYNTHETIC TEST SCENARIO ONLY — not real advice
C011,55,divorced,70k-85k,high,individual disability insurance,own-occupation disability to 60% income,ex-spouse handled everything,SYNTHETIC TEST SCENARIO ONLY — not real advice
C012,67,married,90k-120k,low,individual disability insurance; long-term care consideration; medigap/medicare supplement review,own-occupation disability to 60% income; LTC quote review (age-based pricing); medigap Plan G or N comparison,don't want to think about decline,SYNTHETIC TEST SCENARIO ONLY — not real advice
C013,42,single,85k-100k,medium,individual disability insurance,own-occupation disability to 60% income,employer covers disability,SYNTHETIC TEST SCENARIO ONLY — not real advice
C014,29,married_no_kids,95k-120k,low,life insurance (dependents present); individual disability insurance,term life 10-20x income; own-occupation disability to 60% income,we're both young and healthy,SYNTHETIC TEST SCENARIO ONLY — not real advice
C015,58,single,50k-65k,high,none identified,review existing coverage,can't afford long-term care premiums,SYNTHETIC TEST SCENARIO ONLY — not real advice
C016,35,married_1_child,110k-140k,medium,individual disability insurance; umbrella liability,own-occupation disability to 60% income; $1M+ umbrella policy,"just had a baby, not thinking about insurance",SYNTHETIC TEST SCENARIO ONLY — not real advice
C017,76,widowed,45k-60k,high,long-term care consideration; medigap/medicare supplement review,LTC quote review (age-based pricing); medigap Plan G or N comparison,"children help with finances, don't want to burden them",SYNTHETIC TEST SCENARIO ONLY — not real advice
C018,33,single,70k-90k,medium,individual disability insurance,own-occupation disability to 60% income,pet insurance is a scam,SYNTHETIC TEST SCENARIO ONLY — not real advice
C019,50,married_no_kids,130k-170k,low,life insurance (dependents present); individual disability insurance,term life 10-20x income; own-occupation disability to 60% income,agent has been handling everything,SYNTHETIC TEST SCENARIO ONLY — not real advice
C020,41,single_parent_2_kids,60k-80k,high,individual disability insurance,own-occupation disability to 60% income,child support covers some things,SYNTHETIC TEST SCENARIO ONLY — not real advice
C021,63,married,140k-180k,low,individual disability insurance; long-term care consideration,own-occupation disability to 60% income; LTC quote review (age-based pricing),"retiring in 2 years, will sort it then",SYNTHETIC TEST SCENARIO ONLY — not real advice
C022,27,roommates,40k-55k,very high,renters insurance,renters policy ($15-30/mo),roommate has renters insurance,SYNTHETIC TEST SCENARIO ONLY — not real advice
C023,46,married_4_kids,80k-105k,high,individual disability insurance,own-occupation disability to 60% income,kids' activities already too expensive,SYNTHETIC TEST SCENARIO ONLY — not real advice
C024,38,single,95k-130k,low,individual disability insurance,own-occupation disability to 60% income,hobby farm is low risk,SYNTHETIC TEST SCENARIO ONLY — not real advice
C025,69,married,60k-80k,high,individual disability insurance; long-term care consideration; medigap/medicare supplement review,own-occupation disability to 60% income; LTC quote review (age-based pricing); medigap Plan G or N comparison,don't want to use savings for premiums,SYNTHETIC TEST SCENARIO ONLY — not real advice
